FACE_ID,Date,Start_Time,Batch_Number,Fines_kg,Fines_Moisture_,Coarse_kg,Coarse_Moisture_,Cement_kg,Water_kg,Cement:Water_Ratio,Cubic_M,Superplasticiser_kg,Accelerator_,Fibre_kg,Additive_1_kg,Add_1_Fines_kg,Add_1_Coarse_kg,Add_1_Cement_kg,Add_1_Water_kg,Add_1_Superplasticiser_kg,Add_2_Fines_kg,Add_2_Coarse_kg,Add_2_Cement_kg,Add_2_Water_kg,Add_2_Superplasticiser_kg
RUP_1075_662_DEC_30,2022-12-13,18:10:00,1.0,4000.0,,2000.0,,1800.0,400.0,0.2222222222222222,3.2355795148247983,16.0,7.0,8.0,,,,,,,,,,,
RUP_1075_662_DEC_31,2022-12-14,22:30:00,1.0,4000.0,,2000.0,,1800.0,400.0,0.2222222222222222,3.2355795148247983,18.0,,8.0,,,,,,,,,,,
RUP_1075_662_DEC_31,2022-12-15,10:30:00,2.0,4000.0,,2000.0,,1800.0,380.0,0.2111111111111111,3.215579514824798,16.0,5.5,8.0,,,,,,,,,,,
RUP_1000_818_DEC_13,2022-12-15,15:40:00,1.0,4000.0,,2000.0,,1800.0,410.0,0.22777777777777777,3.245579514824798,16.0,6.5,8.0,,,,,,,,,,,
RUP_1075_662_DEC_31,2022-12-16,03:00:00,2.0,4000.0,,2000.0,,1800.0,560.0,0.3111111111111111,3.3955795148247976,16.0,,8.0,,,,,,,,,,,
RUP_1075_662_DEC_32,2022-12-16,06:20:00,1.0,4000.0,,2000.0,,1800.0,550.0,0.3055555555555556,3.385579514824798,12.0,,8.0,,,,,,,,,,,
RUP_1000_818_DEC_14,2022-12-16,22:00:00,1.0,4000.0,,2000.0,,1800.0,450.0,0.25,3.285579514824798,16.0,5.0,8.0,,,,,,,,,,,
RUP_1000_818_DEC_14,2022-12-16,23:00:00,2.0,4000.0,,2000.0,,1800.0,470.0,0.2611111111111111,3.3055795148247977,16.0,5.0,8.0,,,,,,,,,,,
RUP_1075_662_DEC_32,2022-12-17,02:45:00,2.0,4000.0,,2000.0,,1800.0,420.0,0.23333333333333334,3.255579514824798,16.0,6.0,8.0,,,,,,,,,,,
RUP_1075_662_DEC_32,2022-12-17,04:00:00,3.0,3000.0,,1000.0,,1350.0,300.0,0.2222222222222222,2.2380053908355793,12.0,,6.0,,,,,,,,,,,
RUP_1075_662_DEC_33,2022-12-17,20:00:00,1.0,4000.0,,2000.0,,1800.0,450.0,0.25,3.285579514824798,16.0,,8.0,,,,,80.0,,,,,,
RUP_1075_662_DEC_33,2022-12-18,04:35:00,2.0,3000.0,,1500.0,,1350.0,300.0,0.2222222222222222,2.426684636118598,12.0,,8.0,,,,,,,,,,,
RUP_1075_662_DEC_33,2022-12-19,01:00:00,3.0,4000.0,,2000.0,,1800.0,430.0,0.2388888888888889,3.2655795148247977,16.0,7.0,8.0,,,,,,,,,,,
RUP_1075_662_DEC_33,2022-12-19,03:45:00,4.0,3000.0,,1500.0,,1350.0,300.0,0.2222222222222222,2.426684636118598,12.0,8.0,6.0,,,,,,,,,,,
RUP_1000_818_DEC_15,2022-12-19,05:30:00,1.0,4000.0,,2000.0,,1800.0,400.0,0.2222222222222222,3.2355795148247983,16.0,,8.0,,,,,,,,,,,
RUP_1000_449_SUB_01,2022-12-19,10:30:00,1.0,4000.0,,2000.0,,1800.0,420.0,0.23333333333333334,3.255579514824798,16.0,,8.0,,,,,40.0,,,,,10.0,
RUP_1075_662_DEC_34,2022-12-20,22:30:00,1.0,3000.0,,1500.0,,1350.0,300.0,0.2222222222222222,2.426684636118598,9.0,6.0,6.0,,,,,10.0,,,,,,
RUP_1000_818_DEC_15,2022-12-20,08:50:00,1.0,4000.0,,2000.0,,1800.0,,0.0,2.835579514824798,16.0,,8.0,,,,,,,,,,,
RUP_1000_818_DEC_15,2022-12-20,10:45:00,2.0,3000.0,,1500.0,,1350.0,250.0,0.18518518518518517,2.3766846361185983,12.0,,6.0,,,,,,,,,,,
RUP_1000_818_DEC_15,2022-12-20,11:40:00,3.0,4000.0,,2000.0,,1800.0,340.0,0.18888888888888888,3.175579514824798,16.0,,8.0,,,,,,,,,,,
